MPAA_rating,genre,voice-actor,director,Year,revenue
522877329.2885906,113133505.39247312,105165458.50225225,115145616.99263352,2001,54656124.0
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,1994,94226333.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
139540245.09535453,113133505.39247312,256307551.77591974,67910223.63117987,2004,67910166.0
522877329.2885906,181061623.4879227,105165458.50225225,115145616.99263352,2003,9254344.0
54621782.59210526,275605875.25,105165458.50225225,115145616.99263352,1993,79618610.0
522877329.2885906,275605875.25,513542926.97261256,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,651256067.6783307,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,256307551.77591974,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,1119249078.9969118,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,256307551.77591974,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,537339258.2178388,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,256307551.77591974,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,1119249078.9969118,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,1119249078.9969118,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,256307551.77591974,1235991037.4385614,2055,1236035515.0
522877329.2885906,275605875.25,256307551.77591974,1235991037.4385614,2055,1236035515.0
107816160.86486487,113133505.39247312,105165458.50225225,115145616.99263352,2001,35705805.0
107816160.86486487,113133505.39247312,105165458.50225225,115145616.99263352,1998,288691833.0
107816160.86486487,156173112.33335882,105165458.50225225,115145616.99263352,2014,268013076.0
107816160.86486487,181061623.4879227,105165458.50225225,115145616.99263352,2006,544817142.0
107816160.86486487,156173112.33335882,105165458.50225225,115145616.99263352,2004,101161045.0
107816160.86486487,275605875.25,105165458.50225225,115145616.99263352,2000,95070168.0
107816160.86486487,113133505.39247312,105165458.50225225,115145616.99263352,1997,27117599.0
139540245.09535453,156173112.33335882,105165458.50225225,115145616.99263352,1990,207231621.0
139540245.09535453,113133505.39247312,105165458.50225225,115145616.99263352,1993,116965668.0
522877329.2885906,181061623.4879227,105165458.50225225,115145616.99263352,1990,36107823.0
107816160.86486487,113133505.39247312,105165458.50225225,115145616.99263352,1992,5872667.0
522877329.2885906,181061623.4879227,105165458.50225225,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,224270360.34031862,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,256307551.77591974,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,256307551.77591974,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,105165458.50225225,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,256307551.77591974,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,256307551.77591974,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,271437307.07537556,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,256307551.77591974,247108326.69767442,1996,190988799.0
522877329.2885906,181061623.4879227,256307551.77591974,247108326.69767442,1996,190988799.0
